date,time,precipitation_inches
24SEP2018,15:00,0.0
24SEP2018,16:00,0.0
24SEP2018,17:00,0.0
24SEP2018,18:00,0.0
24SEP2018,19:00,0.0002327295387463
24SEP2018,20:00,0.036596720603646
24SEP2018,21:00,1.9394155201727525e-05
24SEP2018,22:00,0.0
24SEP2018,23:00,0.0
25SEP2018,00:00,0.0
25SEP2018,01:00,0.0
25SEP2018,02:00,0.0
25SEP2018,03:00,0.0
25SEP2018,04:00,0.0
25SEP2018,05:00,0.0
25SEP2018,06:00,0.0
25SEP2018,07:00,0.0
25SEP2018,08:00,0.0
25SEP2018,09:00,0.0
25SEP2018,10:00,0.0
25SEP2018,11:00,0.0
25SEP2018,12:00,0.0
25SEP2018,13:00,0.0
25SEP2018,14:00,7.757652832850387e-05
25SEP2018,15:00,0.0
25SEP2018,16:00,0.0683836951099879
25SEP2018,17:00,0.1594003378977338
25SEP2018,18:00,0.0364027784505191
25SEP2018,19:00,0.0096000935079646
25SEP2018,20:00,0.0043636790017706
25SEP2018,21:00,0.0
25SEP2018,22:00,0.0
25SEP2018,23:00,0.0
26SEP2018,00:00,0.0
26SEP2018,01:00,0.0
26SEP2018,02:00,0.0
26SEP2018,03:00,0.0
26SEP2018,04:00,0.0
26SEP2018,05:00,0.0
26SEP2018,06:00,0.0
26SEP2018,07:00,0.0
26SEP2018,08:00,0.0
26SEP2018,09:00,0.0
26SEP2018,10:00,0.0
26SEP2018,11:00,0.0
26SEP2018,12:00,0.0
26SEP2018,13:00,0.0
26SEP2018,14:00,0.0
26SEP2018,15:00,0.0
26SEP2018,16:00,0.0
26SEP2018,17:00,0.0
26SEP2018,18:00,0.0
26SEP2018,19:00,0.0
26SEP2018,20:00,0.0
26SEP2018,21:00,0.0
26SEP2018,22:00,0.0
26SEP2018,23:00,7.75766208069101e-05
27SEP2018,00:00,0.0
27SEP2018,01:00,0.0
27SEP2018,02:00,0.0
27SEP2018,03:00,0.0085528107454434
27SEP2018,04:00,0.0
27SEP2018,05:00,0.0
27SEP2018,06:00,0.0
27SEP2018,07:00,0.0
27SEP2018,08:00,0.0
27SEP2018,09:00,0.0
27SEP2018,10:00,0.0
27SEP2018,11:00,0.0
27SEP2018,12:00,0.011267988774549
27SEP2018,13:00,0.0761801349585441
27SEP2018,14:00,0.0039757965450849
27SEP2018,15:00,0.0
27SEP2018,16:00,0.0
27SEP2018,17:00,0.0
27SEP2018,18:00,0.0
27SEP2018,19:00,0.0
27SEP2018,20:00,0.0
27SEP2018,21:00,0.0
27SEP2018,22:00,0.0
27SEP2018,23:00,0.0
28SEP2018,00:00,0.0
28SEP2018,01:00,0.0
28SEP2018,02:00,0.0
28SEP2018,03:00,0.086730542210111
28SEP2018,04:00,0.068383696497164
28SEP2018,05:00,0.0
28SEP2018,06:00,0.0
28SEP2018,07:00,0.0
28SEP2018,08:00,0.0
28SEP2018,09:00,0.0
28SEP2018,10:00,0.0
28SEP2018,11:00,0.0
28SEP2018,12:00,0.0
28SEP2018,13:00,0.0
28SEP2018,14:00,0.0
28SEP2018,15:00,0.0
28SEP2018,16:00,0.0
28SEP2018,17:00,0.0
28SEP2018,18:00,0.0
28SEP2018,19:00,0.0
28SEP2018,20:00,0.0
28SEP2018,21:00,0.0
28SEP2018,22:00,0.0
28SEP2018,23:00,0.0
29SEP2018,00:00,0.0
29SEP2018,01:00,0.0
29SEP2018,02:00,0.0
29SEP2018,03:00,0.0
29SEP2018,04:00,0.0
29SEP2018,05:00,0.0
29SEP2018,06:00,0.0
29SEP2018,07:00,0.0
29SEP2018,08:00,0.0
29SEP2018,09:00,0.0
29SEP2018,10:00,0.0
29SEP2018,11:00,0.0
29SEP2018,12:00,0.0
29SEP2018,13:00,0.0
29SEP2018,14:00,0.0
29SEP2018,15:00,0.0
29SEP2018,16:00,0.0
29SEP2018,17:00,0.0
29SEP2018,18:00,0.0
29SEP2018,19:00,0.0
29SEP2018,20:00,0.0
29SEP2018,21:00,0.0
29SEP2018,22:00,0.0
29SEP2018,23:00,0.0
30SEP2018,00:00,0.0
30SEP2018,01:00,0.0
30SEP2018,02:00,0.0
30SEP2018,03:00,0.0
30SEP2018,04:00,0.0
30SEP2018,05:00,0.0
30SEP2018,06:00,0.0
30SEP2018,07:00,0.0
30SEP2018,08:00,0.0
30SEP2018,09:00,0.0
30SEP2018,10:00,0.0
30SEP2018,11:00,0.0
30SEP2018,12:00,0.0
30SEP2018,13:00,0.0
30SEP2018,14:00,0.0
30SEP2018,15:00,0.0
30SEP2018,16:00,0.0
30SEP2018,17:00,0.0
30SEP2018,18:00,0.0
30SEP2018,19:00,0.0
30SEP2018,20:00,0.0
30SEP2018,21:00,0.0
30SEP2018,22:00,0.0
30SEP2018,23:00,0.0
01OCT2018,00:00,0.0
01OCT2018,01:00,0.0
01OCT2018,02:00,0.0
01OCT2018,03:00,0.0
01OCT2018,04:00,0.0
01OCT2018,05:00,0.0
01OCT2018,06:00,0.0
01OCT2018,07:00,0.0
01OCT2018,08:00,0.0
01OCT2018,09:00,0.0
01OCT2018,10:00,0.0
01OCT2018,11:00,0.0
01OCT2018,12:00,0.0
01OCT2018,13:00,0.0
01OCT2018,14:00,0.0
01OCT2018,15:00,0.0
01OCT2018,16:00,0.0
01OCT2018,17:00,0.0
01OCT2018,18:00,0.0
01OCT2018,19:00,0.0
01OCT2018,20:00,0.0
01OCT2018,21:00,0.0
01OCT2018,22:00,0.0
01OCT2018,23:00,0.0
02OCT2018,00:00,0.0
02OCT2018,01:00,0.0
02OCT2018,02:00,0.0
02OCT2018,03:00,0.0
02OCT2018,04:00,0.0
02OCT2018,05:00,0.0
02OCT2018,06:00,0.0
02OCT2018,07:00,0.0
02OCT2018,08:00,0.0
02OCT2018,09:00,0.0
02OCT2018,10:00,0.0
02OCT2018,11:00,0.0
02OCT2018,12:00,0.0
02OCT2018,13:00,0.0
02OCT2018,14:00,0.0
02OCT2018,15:00,0.0
02OCT2018,16:00,0.0
02OCT2018,17:00,0.0
02OCT2018,18:00,0.0
02OCT2018,19:00,0.0
02OCT2018,20:00,0.0
02OCT2018,21:00,0.0
02OCT2018,22:00,0.0
02OCT2018,23:00,0.0
03OCT2018,00:00,0.0
03OCT2018,01:00,0.0
03OCT2018,02:00,0.0
03OCT2018,03:00,0.0
03OCT2018,04:00,0.0
03OCT2018,05:00,0.0
03OCT2018,06:00,0.0
03OCT2018,07:00,0.0
03OCT2018,08:00,0.0
03OCT2018,09:00,0.0
03OCT2018,10:00,0.0
03OCT2018,11:00,0.0
03OCT2018,12:00,0.0
03OCT2018,13:00,0.0
03OCT2018,14:00,0.0
03OCT2018,15:00,0.0
03OCT2018,16:00,0.0
03OCT2018,17:00,0.0
03OCT2018,18:00,0.0
03OCT2018,19:00,0.0
03OCT2018,20:00,0.0
03OCT2018,21:00,0.0
03OCT2018,22:00,0.0
03OCT2018,23:00,0.0
04OCT2018,00:00,0.0
04OCT2018,01:00,0.0
04OCT2018,02:00,0.0
04OCT2018,03:00,0.0
04OCT2018,04:00,0.0
04OCT2018,05:00,0.0
04OCT2018,06:00,0.0
04OCT2018,07:00,0.0
04OCT2018,08:00,0.0
04OCT2018,09:00,0.0
04OCT2018,10:00,0.0
04OCT2018,11:00,0.0
04OCT2018,12:00,0.0
04OCT2018,13:00,0.0
04OCT2018,14:00,0.0
04OCT2018,15:00,0.0
04OCT2018,16:00,0.0
04OCT2018,17:00,0.0
04OCT2018,18:00,0.0
04OCT2018,19:00,0.0
04OCT2018,20:00,0.0
04OCT2018,21:00,0.0
04OCT2018,22:00,0.0
04OCT2018,23:00,0.0
05OCT2018,00:00,0.0
05OCT2018,01:00,0.0
05OCT2018,02:00,0.0
05OCT2018,03:00,0.0
05OCT2018,04:00,0.0
05OCT2018,05:00,0.0
