time_utc,discharge_cfs,unit,approval_status,qualifier,time_local
2018-09-11 08:00:00+00:00,81.4,ft^3/s,Approved,,2018-09-11 04:00:00-04:00
2018-09-11 08:15:00+00:00,81.4,ft^3/s,Approved,,2018-09-11 04:15:00-04:00
2018-09-11 08:30:00+00:00,81.4,ft^3/s,Approved,,2018-09-11 04:30:00-04:00
2018-09-11 08:45:00+00:00,80.6,ft^3/s,Approved,,2018-09-11 04:45:00-04:00
2018-09-11 09:00:00+00:00,80.6,ft^3/s,Approved,,2018-09-11 05:00:00-04:00
2018-09-11 09:15:00+00:00,80.6,ft^3/s,Approved,,2018-09-11 05:15:00-04:00
2018-09-11 09:30:00+00:00,80.6,ft^3/s,Approved,,2018-09-11 05:30:00-04:00
2018-09-11 09:45:00+00:00,79.8,ft^3/s,Approved,,2018-09-11 05:45:00-04:00
2018-09-11 10:00:00+00:00,79.8,ft^3/s,Approved,,2018-09-11 06:00:00-04:00
2018-09-11 10:15:00+00:00,79.8,ft^3/s,Approved,,2018-09-11 06:15:00-04:00
2018-09-11 10:30:00+00:00,79.1,ft^3/s,Approved,,2018-09-11 06:30:00-04:00
2018-09-11 10:45:00+00:00,79.1,ft^3/s,Approved,,2018-09-11 06:45:00-04:00
2018-09-11 11:00:00+00:00,79.1,ft^3/s,Approved,,2018-09-11 07:00:00-04:00
2018-09-11 11:15:00+00:00,79.1,ft^3/s,Approved,,2018-09-11 07:15:00-04:00
2018-09-11 11:30:00+00:00,79.1,ft^3/s,Approved,,2018-09-11 07:30:00-04:00
2018-09-11 11:45:00+00:00,78.3,ft^3/s,Approved,,2018-09-11 07:45:00-04:00
2018-09-11 12:00:00+00:00,78.3,ft^3/s,Approved,,2018-09-11 08:00:00-04:00
2018-09-11 12:15:00+00:00,78.3,ft^3/s,Approved,,2018-09-11 08:15:00-04:00
2018-09-11 12:30:00+00:00,78.3,ft^3/s,Approved,,2018-09-11 08:30:00-04:00
2018-09-11 12:45:00+00:00,77.5,ft^3/s,Approved,,2018-09-11 08:45:00-04:00
2018-09-11 13:00:00+00:00,77.5,ft^3/s,Approved,,2018-09-11 09:00:00-04:00
2018-09-11 13:15:00+00:00,77.5,ft^3/s,Approved,,2018-09-11 09:15:00-04:00
2018-09-11 13:30:00+00:00,77.5,ft^3/s,Approved,,2018-09-11 09:30:00-04:00
2018-09-11 13:45:00+00:00,77.5,ft^3/s,Approved,,2018-09-11 09:45:00-04:00
2018-09-11 14:00:00+00:00,76.7,ft^3/s,Approved,,2018-09-11 10:00:00-04:00
2018-09-11 14:15:00+00:00,76.7,ft^3/s,Approved,,2018-09-11 10:15:00-04:00
2018-09-11 14:30:00+00:00,76.7,ft^3/s,Approved,,2018-09-11 10:30:00-04:00
2018-09-11 14:45:00+00:00,76.7,ft^3/s,Approved,,2018-09-11 10:45:00-04:00
2018-09-11 15:00:00+00:00,76.7,ft^3/s,Approved,,2018-09-11 11:00:00-04:00
2018-09-11 15:15:00+00:00,76.7,ft^3/s,Approved,,2018-09-11 11:15:00-04:00
2018-09-11 15:30:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 11:30:00-04:00
2018-09-11 15:45:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 11:45:00-04:00
2018-09-11 16:00:00+00:00,76.7,ft^3/s,Approved,,2018-09-11 12:00:00-04:00
2018-09-11 16:15:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 12:15:00-04:00
2018-09-11 16:30:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 12:30:00-04:00
2018-09-11 16:45:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 12:45:00-04:00
2018-09-11 17:00:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 13:00:00-04:00
2018-09-11 17:15:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 13:15:00-04:00
2018-09-11 17:30:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 13:30:00-04:00
2018-09-11 17:45:00+00:00,75.2,ft^3/s,Approved,,2018-09-11 13:45:00-04:00
2018-09-11 18:00:00+00:00,75.2,ft^3/s,Approved,,2018-09-11 14:00:00-04:00
2018-09-11 18:15:00+00:00,75.2,ft^3/s,Approved,,2018-09-11 14:15:00-04:00
2018-09-11 18:30:00+00:00,74.5,ft^3/s,Approved,,2018-09-11 14:30:00-04:00
2018-09-11 18:45:00+00:00,74.5,ft^3/s,Approved,,2018-09-11 14:45:00-04:00
2018-09-11 19:00:00+00:00,74.5,ft^3/s,Approved,,2018-09-11 15:00:00-04:00
2018-09-11 19:15:00+00:00,74.5,ft^3/s,Approved,,2018-09-11 15:15:00-04:00
2018-09-11 19:30:00+00:00,73.7,ft^3/s,Approved,,2018-09-11 15:30:00-04:00
2018-09-11 19:45:00+00:00,74.5,ft^3/s,Approved,,2018-09-11 15:45:00-04:00
2018-09-11 20:00:00+00:00,75.2,ft^3/s,Approved,,2018-09-11 16:00:00-04:00
2018-09-11 20:15:00+00:00,75.2,ft^3/s,Approved,,2018-09-11 16:15:00-04:00
2018-09-11 20:30:00+00:00,76.0,ft^3/s,Approved,,2018-09-11 16:30:00-04:00
2018-09-11 20:45:00+00:00,77.5,ft^3/s,Approved,,2018-09-11 16:45:00-04:00
2018-09-11 21:00:00+00:00,79.1,ft^3/s,Approved,,2018-09-11 17:00:00-04:00
2018-09-11 21:15:00+00:00,80.6,ft^3/s,Approved,,2018-09-11 17:15:00-04:00
2018-09-11 21:30:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 17:30:00-04:00
2018-09-11 21:45:00+00:00,83.8,ft^3/s,Approved,,2018-09-11 17:45:00-04:00
2018-09-11 22:00:00+00:00,86.4,ft^3/s,Approved,,2018-09-11 18:00:00-04:00
2018-09-11 22:15:00+00:00,88.1,ft^3/s,Approved,,2018-09-11 18:15:00-04:00
2018-09-11 22:30:00+00:00,89.9,ft^3/s,Approved,,2018-09-11 18:30:00-04:00
2018-09-11 22:45:00+00:00,92.7,ft^3/s,Approved,,2018-09-11 18:45:00-04:00
2018-09-11 23:00:00+00:00,94.6,ft^3/s,Approved,,2018-09-11 19:00:00-04:00
2018-09-11 23:15:00+00:00,96.5,ft^3/s,Approved,,2018-09-11 19:15:00-04:00
2018-09-11 23:30:00+00:00,98.4,ft^3/s,Approved,,2018-09-11 19:30:00-04:00
2018-09-11 23:45:00+00:00,99.4,ft^3/s,Approved,,2018-09-11 19:45:00-04:00
2018-09-12 00:00:00+00:00,100.0,ft^3/s,Approved,,2018-09-11 20:00:00-04:00
2018-09-12 00:15:00+00:00,100.0,ft^3/s,Approved,,2018-09-11 20:15:00-04:00
2018-09-12 00:30:00+00:00,100.0,ft^3/s,Approved,,2018-09-11 20:30:00-04:00
2018-09-12 00:45:00+00:00,99.4,ft^3/s,Approved,,2018-09-11 20:45:00-04:00
2018-09-12 01:00:00+00:00,98.4,ft^3/s,Approved,,2018-09-11 21:00:00-04:00
2018-09-12 01:15:00+00:00,97.5,ft^3/s,Approved,,2018-09-11 21:15:00-04:00
2018-09-12 01:30:00+00:00,96.5,ft^3/s,Approved,,2018-09-11 21:30:00-04:00
2018-09-12 01:45:00+00:00,95.5,ft^3/s,Approved,,2018-09-11 21:45:00-04:00
2018-09-12 02:00:00+00:00,94.6,ft^3/s,Approved,,2018-09-11 22:00:00-04:00
2018-09-12 02:15:00+00:00,93.6,ft^3/s,Approved,,2018-09-11 22:15:00-04:00
