time_local,rainfall_inches,discharge_cfs,rainfall_missing,streamflow_missing
2018-09-14 14:00:00-04:00,0.31371882357637004,308.0,False,False
2018-09-14 15:00:00-04:00,0.15320296292449215,473.75,False,False
2018-09-14 16:00:00-04:00,0.28977482508714736,624.75,False,False
2018-09-14 17:00:00-04:00,0.40553941641766933,754.25,False,False
2018-09-14 18:00:00-04:00,0.26193981058278776,945.5,False,False
2018-09-14 19:00:00-04:00,0.3787990360827063,1250.0,False,False
2018-09-14 20:00:00-04:00,0.16890500118878254,1607.5,False,False
2018-09-14 21:00:00-04:00,1.4917304705499734,2095.0,False,False
2018-09-14 22:00:00-04:00,2.1175951549431216,2617.5,False,False
2018-09-14 23:00:00-04:00,1.3481308669520755,3597.5,False,False
2018-09-15 00:00:00-04:00,1.80325082274969,4322.5,False,False
2018-09-15 01:00:00-04:00,1.2747902966763276,5200.0,False,False
2018-09-15 02:00:00-04:00,0.622875130995017,6160.0,False,False
2018-09-15 03:00:00-04:00,0.26485577233361046,7230.0,False,False
2018-09-15 04:00:00-04:00,1.9113713620873827,8177.5,False,False
2018-09-15 05:00:00-04:00,0.601617130268944,9357.5,False,False
2018-09-15 06:00:00-04:00,0.27763265008580407,10900.0,False,False
2018-09-15 07:00:00-04:00,0.24945728759890545,13475.0,False,False
2018-09-15 08:00:00-04:00,0.212828396908696,16800.0,False,False
2018-09-15 09:00:00-04:00,0.1389635046530756,20650.0,False,False
2018-09-15 10:00:00-04:00,0.20665612421829505,24900.0,False,False
2018-09-15 11:00:00-04:00,0.2807785781928707,29350.0,False,False
2018-09-15 12:00:00-04:00,0.276124078589337,33200.0,False,False
2018-09-15 13:00:00-04:00,0.17667783263749184,,False,True
2018-09-15 14:00:00-04:00,0.13769409450195827,,False,True
2018-09-15 15:00:00-04:00,0.09435021346114893,,False,True
2018-09-15 16:00:00-04:00,0.07848260014760187,,False,True
2018-09-15 17:00:00-04:00,0.2863253434066329,,False,True
2018-09-15 18:00:00-04:00,0.26518692238826136,46100.0,False,False
2018-09-15 19:00:00-04:00,0.38778608518068225,,False,True
2018-09-15 20:00:00-04:00,0.054676578713179214,,False,True
2018-09-15 21:00:00-04:00,0.06242181475531477,,False,True
2018-09-15 22:00:00-04:00,0.15842777660363416,,False,True
2018-09-15 23:00:00-04:00,0.11095371614080433,,False,True
2018-09-16 00:00:00-04:00,0.07472036613236552,59700.0,False,False
2018-09-16 01:00:00-04:00,0.15266024436511358,,False,True
2018-09-16 02:00:00-04:00,0.13182537733688288,,False,True
2018-09-16 03:00:00-04:00,0.33719369359640666,,False,True
2018-09-16 04:00:00-04:00,0.3010339324280814,,False,True
2018-09-16 05:00:00-04:00,0.1914324139959195,,False,True
2018-09-16 06:00:00-04:00,0.10482743835333422,67600.0,False,False
2018-09-16 07:00:00-04:00,0.12501840134735132,67700.0,False,False
