site_number,site_name,time_local,discharge_cfs
02092500,"Trent River near Trenton, NC",2018-09-14 11:00:00-04:00,149.25
02092500,"Trent River near Trenton, NC",2018-09-14 12:00:00-04:00,187.25
02092500,"Trent River near Trenton, NC",2018-09-14 13:00:00-04:00,229.5
02092500,"Trent River near Trenton, NC",2018-09-14 14:00:00-04:00,308.0
02092500,"Trent River near Trenton, NC",2018-09-14 15:00:00-04:00,473.75
02092500,"Trent River near Trenton, NC",2018-09-14 16:00:00-04:00,624.75
02092500,"Trent River near Trenton, NC",2018-09-14 17:00:00-04:00,754.25
02092500,"Trent River near Trenton, NC",2018-09-14 18:00:00-04:00,945.5
02092500,"Trent River near Trenton, NC",2018-09-14 19:00:00-04:00,1250.0
02092500,"Trent River near Trenton, NC",2018-09-14 20:00:00-04:00,1607.5
02092500,"Trent River near Trenton, NC",2018-09-14 21:00:00-04:00,2095.0
02092500,"Trent River near Trenton, NC",2018-09-14 22:00:00-04:00,2617.5
02092500,"Trent River near Trenton, NC",2018-09-14 23:00:00-04:00,3597.5
02092500,"Trent River near Trenton, NC",2018-09-15 00:00:00-04:00,4322.5
02092500,"Trent River near Trenton, NC",2018-09-15 01:00:00-04:00,5200.0
02092500,"Trent River near Trenton, NC",2018-09-15 02:00:00-04:00,6160.0
02092500,"Trent River near Trenton, NC",2018-09-15 03:00:00-04:00,7230.0
02092500,"Trent River near Trenton, NC",2018-09-15 04:00:00-04:00,8177.5
02092500,"Trent River near Trenton, NC",2018-09-15 05:00:00-04:00,9357.5
02092500,"Trent River near Trenton, NC",2018-09-15 06:00:00-04:00,10900.0
02092500,"Trent River near Trenton, NC",2018-09-15 07:00:00-04:00,13475.0
02092500,"Trent River near Trenton, NC",2018-09-15 08:00:00-04:00,16800.0
02092500,"Trent River near Trenton, NC",2018-09-15 09:00:00-04:00,20650.0
02092500,"Trent River near Trenton, NC",2018-09-15 10:00:00-04:00,24900.0
02092500,"Trent River near Trenton, NC",2018-09-15 11:00:00-04:00,29350.0
02092500,"Trent River near Trenton, NC",2018-09-15 12:00:00-04:00,33200.0
02092500,"Trent River near Trenton, NC",2018-09-15 13:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 14:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 15:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 16:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 17:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 18:00:00-04:00,46100.0
02092500,"Trent River near Trenton, NC",2018-09-15 19:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 20:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 21:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 22:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-15 23:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-16 00:00:00-04:00,59700.0
02092500,"Trent River near Trenton, NC",2018-09-16 01:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-16 02:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-16 03:00:00-04:00,
