site_id,site_name,time_utc,time_local,discharge_cfs,unit,parameter_code,approval_status,qualifier
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 21:00:00+00:00,2018-09-10 17:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 21:15:00+00:00,2018-09-10 17:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 21:30:00+00:00,2018-09-10 17:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 21:45:00+00:00,2018-09-10 17:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 22:00:00+00:00,2018-09-10 18:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 22:15:00+00:00,2018-09-10 18:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 22:30:00+00:00,2018-09-10 18:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 22:45:00+00:00,2018-09-10 18:45:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 23:00:00+00:00,2018-09-10 19:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 23:15:00+00:00,2018-09-10 19:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 23:30:00+00:00,2018-09-10 19:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 23:45:00+00:00,2018-09-10 19:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 00:00:00+00:00,2018-09-10 20:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 00:15:00+00:00,2018-09-10 20:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 00:30:00+00:00,2018-09-10 20:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 00:45:00+00:00,2018-09-10 20:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 01:00:00+00:00,2018-09-10 21:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 01:15:00+00:00,2018-09-10 21:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 01:30:00+00:00,2018-09-10 21:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 01:45:00+00:00,2018-09-10 21:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 02:00:00+00:00,2018-09-10 22:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 02:15:00+00:00,2018-09-10 22:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 02:30:00+00:00,2018-09-10 22:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 02:45:00+00:00,2018-09-10 22:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 03:00:00+00:00,2018-09-10 23:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 03:15:00+00:00,2018-09-10 23:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 03:30:00+00:00,2018-09-10 23:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 03:45:00+00:00,2018-09-10 23:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 04:00:00+00:00,2018-09-11 00:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 04:15:00+00:00,2018-09-11 00:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 04:30:00+00:00,2018-09-11 00:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 04:45:00+00:00,2018-09-11 00:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 05:00:00+00:00,2018-09-11 01:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 05:15:00+00:00,2018-09-11 01:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 05:30:00+00:00,2018-09-11 01:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 05:45:00+00:00,2018-09-11 01:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 06:00:00+00:00,2018-09-11 02:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 06:15:00+00:00,2018-09-11 02:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 06:30:00+00:00,2018-09-11 02:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 06:45:00+00:00,2018-09-11 02:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 07:00:00+00:00,2018-09-11 03:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 07:15:00+00:00,2018-09-11 03:15:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 07:30:00+00:00,2018-09-11 03:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 07:45:00+00:00,2018-09-11 03:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 08:00:00+00:00,2018-09-11 04:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 08:15:00+00:00,2018-09-11 04:15:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 08:30:00+00:00,2018-09-11 04:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 08:45:00+00:00,2018-09-11 04:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 09:00:00+00:00,2018-09-11 05:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 09:15:00+00:00,2018-09-11 05:15:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 09:30:00+00:00,2018-09-11 05:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 09:45:00+00:00,2018-09-11 05:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 10:00:00+00:00,2018-09-11 06:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 10:15:00+00:00,2018-09-11 06:15:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 10:30:00+00:00,2018-09-11 06:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 10:45:00+00:00,2018-09-11 06:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 11:00:00+00:00,2018-09-11 07:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 11:15:00+00:00,2018-09-11 07:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 11:30:00+00:00,2018-09-11 07:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 11:45:00+00:00,2018-09-11 07:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 12:00:00+00:00,2018-09-11 08:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 12:15:00+00:00,2018-09-11 08:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 12:30:00+00:00,2018-09-11 08:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 12:45:00+00:00,2018-09-11 08:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 13:00:00+00:00,2018-09-11 09:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 13:15:00+00:00,2018-09-11 09:15:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 13:30:00+00:00,2018-09-11 09:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 13:45:00+00:00,2018-09-11 09:45:00-04:00,38.2,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 14:00:00+00:00,2018-09-11 10:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 14:15:00+00:00,2018-09-11 10:15:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 14:30:00+00:00,2018-09-11 10:30:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 14:45:00+00:00,2018-09-11 10:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 15:00:00+00:00,2018-09-11 11:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 15:15:00+00:00,2018-09-11 11:15:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 15:30:00+00:00,2018-09-11 11:30:00-04:00,38.9,ft^3/s,00060,Approved,
